id,name,matchType,status,venue,date,dateTimeGMT,teams,fantasyEnabled,bbbEnabled,hasSquad,matchStarted,matchEnded
fd459f45-6e79-42c5-84e4-d046f291cacf,"Rajasthan Royals vs Kolkata Knight Riders, 6th Match",t20,Kolkata Knight Riders won by 8 wkts,"Barsapara Cricket Stadium, Guwahati",2025-03-26,2025-03-26T14:00:00,"['Rajasthan Royals', 'Kolkata Knight Riders']",True,True,True,True,True
f5ed540f-15c7-4189-a5d4-e54be746a522,"Gujarat Titans vs Mumbai Indians, 9th Match",t20,Gujarat Titans won by 36 runs,"Narendra Modi Stadium, Ahmedabad",2025-03-29,2025-03-29T14:00:00,"['Gujarat Titans', 'Mumbai Indians']",True,True,True,True,True
af5cf1dd-b3d4-4e8d-8660-e5e27cd5202e,"Delhi Capitals vs Sunrisers Hyderabad, 10th Match",t20,Delhi Capitals won by 7 wkts,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025-03-30,2025-03-30T10:00:00,"['Delhi Capitals', 'Sunrisers Hyderabad']",True,True,True,True,True
057ce3fb-8117-47fe-bf25-be0ed8a56dd0,"Rajasthan Royals vs Chennai Super Kings, 11th Match",t20,Rajasthan Royals won by 6 runs,"Barsapara Cricket Stadium, Guwahati",2025-03-30,2025-03-30T14:00:00,"['Rajasthan Royals', 'Chennai Super Kings']",True,True,True,True,True
075649ef-6ca8-4f50-8143-87814b828ea0,"Mumbai Indians vs Kolkata Knight Riders, 12th Match",t20,Match not started,"Wankhede Stadium, Mumbai",2025-03-31,2025-03-31T14:00:00,"['Mumbai Indians', 'Kolkata Knight Riders']",False,False,True,False,False
7896feec-8fd6-44ef-aee3-eabb679e6305,"Lucknow Super Giants vs Punjab Kings, 13th Match",t20,Match not started,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-01,2025-04-01T14:00:00,"['Lucknow Super Giants', 'Punjab Kings']",False,False,True,False,False
64e88ffc-606f-4d4f-b848-310f1ec7a98a,"Royal Challengers Bengaluru vs Gujarat Titans, 14th Match",t20,Match not started,"M.Chinnaswamy Stadium, Bengaluru",2025-04-02,2025-04-02T14:00:00,"['Royal Challengers Bengaluru', 'Gujarat Titans']",False,False,True,False,False
7ab847ee-a1ee-47a9-82bd-ce923b23984f,"Punjab Kings vs Mumbai Indians, 61st Match",t20,Match not started,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2025-05-11,2025-05-11T10:00:00,"['Punjab Kings', 'Mumbai Indians']",False,False,True,False,False
1ead6330-fb0b-48b4-ac7c-cec61b0b7063,"Delhi Capitals vs Gujarat Titans, 62nd Match",t20,Match not started,"Arun Jaitley Stadium, Delhi",2025-05-11,2025-05-11T14:00:00,"['Delhi Capitals', 'Gujarat Titans']",False,False,True,False,False
940a01f0-f893-4bd9-9e1b-352d561f7ee1,"Chennai Super Kings vs Rajasthan Royals, 63rd Match",t20,Match not started,"MA Chidambaram Stadium, Chennai",2025-05-12,2025-05-12T14:00:00,"['Chennai Super Kings', 'Rajasthan Royals']",False,False,True,False,False
305c7d58-c26f-487d-8404-d30c6ad29f99,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 64th Match",t20,Match not started,"M.Chinnaswamy Stadium, Bengaluru",2025-05-13,2025-05-13T14:00:00,"['Royal Challengers Bengaluru', 'Sunrisers Hyderabad']",False,False,True,False,False
0a54b5bd-c4f5-48c6-b8aa-db27fa890b73,"Gujarat Titans vs Lucknow Super Giants, 65th Match",t20,Match not started,"Narendra Modi Stadium, Ahmedabad",2025-05-14,2025-05-14T14:00:00,"['Gujarat Titans', 'Lucknow Super Giants']",False,False,True,False,False
469c4673-1449-4e20-9bc9-b358ec604fcf,"Mumbai Indians vs Delhi Capitals, 66th Match",t20,Match not started,"Wankhede Stadium, Mumbai",2025-05-15,2025-05-15T14:00:00,"['Mumbai Indians', 'Delhi Capitals']",False,False,True,False,False
a860a259-b9a4-42cd-acf7-f9a650e24292,"Rajasthan Royals vs Punjab Kings, 67th Match",t20,Match not started,"Sawai Mansingh Stadium, Jaipur",2025-05-16,2025-05-16T14:00:00,"['Rajasthan Royals', 'Punjab Kings']",False,False,True,False,False
1c3424f1-400a-4122-bc01-fb5ab52aa2ee,"Royal Challengers Bengaluru vs Kolkata Knight Riders, 68th Match",t20,Match not started,"M.Chinnaswamy Stadium, Bengaluru",2025-05-17,2025-05-17T14:00:00,"['Royal Challengers Bengaluru', 'Kolkata Knight Riders']",False,False,True,False,False
99c52578-1257-4834-9848-88cfec556836,"Delhi Capitals vs Mumbai Indians, 29th Match",t20,Match not started,"Arun Jaitley Stadium, Delhi",2025-04-13,2025-04-13T14:00:00,"['Delhi Capitals', 'Mumbai Indians']",False,False,True,False,False
263c1103-33c0-4c05-864f-5dbcd29ead9b,"Lucknow Super Giants vs Chennai Super Kings, 30th Match",t20,Match not started,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-14,2025-04-14T14:00:00,"['Lucknow Super Giants', 'Chennai Super Kings']",False,False,True,False,False
23f60d1b-2641-4a84-bb73-54d3aadfb294,"Punjab Kings vs Kolkata Knight Riders, 31st Match",t20,Match not started,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-15,2025-04-15T14:00:00,"['Punjab Kings', 'Kolkata Knight Riders']",False,False,True,False,False
3659022a-de1d-48fe-b68a-c62197297408,"Delhi Capitals vs Rajasthan Royals, 32nd Match",t20,Match not started,"Arun Jaitley Stadium, Delhi",2025-04-16,2025-04-16T14:00:00,"['Delhi Capitals', 'Rajasthan Royals']",False,False,True,False,False
71756de6-bdef-4b23-801f-c6bec9604e07,"Mumbai Indians vs Sunrisers Hyderabad, 33rd Match",t20,Match not started,"Wankhede Stadium, Mumbai",2025-04-17,2025-04-17T14:00:00,"['Mumbai Indians', 'Sunrisers Hyderabad']",False,False,True,False,False
ebce77ae-63e1-46eb-8ff4-360ba8dc9bf2,"Royal Challengers Bengaluru vs Punjab Kings, 34th Match",t20,Match not started,"M.Chinnaswamy Stadium, Bengaluru",2025-04-18,2025-04-18T14:00:00,"['Royal Challengers Bengaluru', 'Punjab Kings']",False,False,True,False,False
71666b6c-a6f9-4e09-a9d9-7f3ddca832d6,"Gujarat Titans vs Delhi Capitals, 35th Match",t20,Match not started,"Narendra Modi Stadium, Ahmedabad",2025-04-19,2025-04-19T10:00:00,"['Gujarat Titans', 'Delhi Capitals']",False,False,True,False,False
a007a070-6120-4e37-8bf9-c9582801a20b,"Rajasthan Royals vs Lucknow Super Giants, 36th Match",t20,Match not started,"Sawai Mansingh Stadium, Jaipur",2025-04-19,2025-04-19T14:00:00,"['Rajasthan Royals', 'Lucknow Super Giants']",False,False,True,False,False
4ace6d56-2e54-473e-a3c1-8bfcd06da6e2,"Punjab Kings vs Royal Challengers Bengaluru, 37th Match",t20,Match not started,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",2025-04-20,2025-04-20T10:00:00,"['Punjab Kings', 'Royal Challengers Bengaluru']",False,False,True,False,False
01244c3f-ce16-42a7-bcee-31d75fcdfb4e,"Mumbai Indians vs Chennai Super Kings, 38th Match",t20,Match not started,"Wankhede Stadium, Mumbai",2025-04-20,2025-04-20T14:00:00,"['Mumbai Indians', 'Chennai Super Kings']",False,False,True,False,False
a62d133e-9370-4575-b649-9415fea63aab,"Kolkata Knight Riders vs Gujarat Titans, 39th Match",t20,Match not started,"Eden Gardens, Kolkata",2025-04-21,2025-04-21T14:00:00,"['Kolkata Knight Riders', 'Gujarat Titans']",False,False,True,False,False
47fd62f1-ca48-4c9c-9ded-0d2fcb5a64df,"Lucknow Super Giants vs Delhi Capitals, 40th Match",t20,Match not started,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025-04-22,2025-04-22T14:00:00,"['Lucknow Super Giants', 'Delhi Capitals']",False,False,True,False,False
cec210ca-9184-43d3-9664-5ff0cbce7cd0,"Sunrisers Hyderabad vs Mumbai Indians, 41st Match",t20,Match not started,"Rajiv Gandhi International Stadium, Hyderabad",2025-04-23,2025-04-23T14:00:00,"['Sunrisers Hyderabad', 'Mumbai Indians']",False,False,True,False,False
9c1e5e4c-b72e-4db2-b2be-df9b4d27f539,"Royal Challengers Bengaluru vs Rajasthan Royals, 42nd Match",t20,Match not started,"M.Chinnaswamy Stadium, Bengaluru",2025-04-24,2025-04-24T14:00:00,"['Royal Challengers Bengaluru', 'Rajasthan Royals']",False,False,True,False,False
92d38459-52b6-40a9-8508-f3dd2692a0bf,"Chennai Super Kings vs Sunrisers Hyderabad, 43rd Match",t20,Match not started,"MA Chidambaram Stadium, Chennai",2025-04-25,2025-04-25T14:00:00,"['Chennai Super Kings', 'Sunrisers Hyderabad']",False,False,True,False,False
eae7163d-b06c-41df-95fb-835fd5b9798b,"Mumbai Indians vs Lucknow Super Giants, 45th Match",t20,Match not started,"Wankhede Stadium, Mumbai",2025-04-27,2025-04-27T10:00:00,"['Mumbai Indians', 'Lucknow Super Giants']",False,False,True,False,False
